Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
183,2021-05-24 04:05:00+00:00,2021-05-31 04:00:00+00:00,0,0,0,0.0
184,2021-05-31 04:05:00+00:00,2021-06-07 04:00:00+00:00,0,0,0,0.0
185,2021-06-07 04:05:00+00:00,2021-06-14 04:00:00+00:00,0,0,0,0.0
186,2021-06-14 04:05:00+00:00,2021-06-21 04:00:00+00:00,0,0,0,0.0
187,2021-06-21 04:05:00+00:00,2021-06-28 04:00:00+00:00,0,0,0,0.0
188,2021-06-28 04:05:00+00:00,2021-07-05 04:00:00+00:00,0,0,0,0.0
189,2021-07-05 04:05:00+00:00,2021-07-12 04:00:00+00:00,0,0,0,0.0
190,2021-07-12 04:05:00+00:00,2021-07-19 04:00:00+00:00,0,0,0,0.0
191,2021-07-19 04:05:00+00:00,2021-07-26 04:00:00+00:00,0,0,0,0.0
192,2021-07-26 04:05:00+00:00,2021-08-02 04:00:00+00:00,0,0,0,0.0
193,2021-08-02 04:05:00+00:00,2021-08-09 04:00:00+00:00,0,0,0,0.0
194,2021-08-09 04:05:00+00:00,2021-08-16 04:00:00+00:00,0,0,0,0.0
195,2021-08-16 04:05:00+00:00,2021-08-23 04:00:00+00:00,0,0,0,0.0
196,2021-08-23 04:05:00+00:00,2021-08-30 04:00:00+00:00,0,0,0,0.0
197,2021-08-30 04:05:00+00:00,2021-09-06 04:00:00+00:00,0,0,0,0.0
198,2021-09-06 04:05:00+00:00,2021-09-13 04:00:00+00:00,0,0,0,0.0
199,2021-09-13 04:05:00+00:00,2021-09-20 04:00:00+00:00,0,0,0,0.0
200,2021-09-20 04:05:00+00:00,2021-09-27 04:00:00+00:00,0,0,0,0.0
201,2021-09-27 04:05:00+00:00,2021-10-04 04:00:00+00:00,0,0,0,0.0
202,2021-10-04 04:05:00+00:00,2021-10-11 04:00:00+00:00,0,0,0,0.0
203,2021-10-11 04:05:00+00:00,2021-10-18 04:00:00+00:00,0,0,0,0.0
204,2021-10-18 04:05:00+00:00,2021-10-25 04:00:00+00:00,0,0,0,0.0
205,2021-10-25 04:05:00+00:00,2021-11-01 04:00:00+00:00,0,0,0,0.0
